application_id,application_month,age,employment_years,annual_income,loan_amount,term_months,interest_rate,debt_to_income,credit_score,n_open_accounts,n_delinq_2yr,home_ownership,purpose,employment_type,region,channel,prior_customer,collections_flag,default
APP000034,2024-11,21,0.9,14600.0,7300.0,48,15.24,0.3565,604.0,2,0,rent,debt_consolidation,salaried,south,partner,False,0,0
APP000035,2024-08,46,19.9,87400.0,34500.0,12,15.27,0.6493,621.0,6,0,mortgage,small_business,salaried,midwest,digital,True,0,0
APP000036,2024-11,46,6.7,53500.0,9700.0,12,14.93,0.5491,687.0,8,0,mortgage,other,salaried,west,broker,True,0,0
APP000037,2023-03,24,1.4,20600.0,12900.0,60,13.95,0.3973,,2,0,rent,major_purchase,salaried,west,branch,True,0,0
APP000038,2024-08,27,5.0,35500.0,21000.0,48,16.48,0.4103,581.0,4,0,mortgage,home_improvement,salaried,south,branch,True,0,0
APP000039,2024-02,25,1.3,19800.0,7100.0,36,14.74,0.1728,659.0,1,0,rent,home_improvement,salaried,south,branch,False,0,0
APP000040,2024-09,32,4.6,42300.0,22300.0,36,16.11,0.347,603.0,3,0,rent,other,salaried,northeast,digital,True,0,0
APP000041,2022-07,30,3.3,30500.0,6800.0,60,13.47,0.1304,,1,0,rent,auto,salaried,west,digital,False,1,1
APP000042,2023-11,53,,61400.0,9500.0,24,11.39,0.1768,754.0,12,0,rent,auto,self_employed,south,digital,True,0,0
APP000043,2022-02,29,6.3,20600.0,11500.0,48,17.5,0.6038,568.0,3,0,own,small_business,salaried,west,digital,False,0,0
APP000044,2023-06,31,1.1,15400.0,10800.0,48,14.7,0.2017,,4,0,rent,debt_consolidation,contract,south,branch,False,0,0
APP000045,2024-06,27,7.0,17500.0,2200.0,60,13.75,0.1826,680.0,1,0,mortgage,auto,retired,south,digital,False,0,0
APP000046,2024-08,36,6.3,18800.0,9900.0,24,15.49,0.4809,576.0,4,1,rent,debt_consolidation,contract,northeast,digital,False,1,1
APP000047,2023-08,36,5.1,25400.0,8200.0,48,15.43,0.2124,614.0,3,0,mortgage,small_business,salaried,south,digital,False,0,0
APP000048,2022-07,35,5.9,30100.0,13000.0,36,15.41,0.2442,639.0,8,0,mortgage,auto,salaried,midwest,branch,False,0,0
APP000049,2023-06,27,0.8,30100.0,12700.0,48,15.34,0.4325,695.0,4,0,own,debt_consolidation,salaried,northeast,digital,True,0,0
APP000050,2024-08,33,2.7,30200.0,16500.0,24,15.29,0.3536,637.0,4,0,own,debt_consolidation,contract,west,digital,False,0,0
APP000051,2024-03,83,16.0,43300.0,26800.0,36,15.72,0.4729,654.0,7,0,own,debt_consolidation,contract,northeast,branch,False,0,0
APP000052,2022-09,43,7.6,43700.0,12300.0,48,14.03,0.2693,637.0,7,0,rent,major_purchase,salaried,west,digital,False,0,0
APP000053,2024-06,42,,73100.0,20100.0,60,14.0,0.2126,697.0,7,0,mortgage,auto,self_employed,midwest,branch,True,0,0
APP000054,2024-04,38,,,9200.0,36,15.39,0.3346,,3,0,mortgage,other,unemployed,west,digital,True,0,0
APP000055,2022-12,71,9.9,36900.0,25700.0,60,15.05,0.379,611.0,6,0,rent,debt_consolidation,contract,midwest,digital,True,0,0
APP000056,2024-03,31,2.9,14800.0,3000.0,48,16.46,0.3265,541.0,3,0,mortgage,major_purchase,salaried,south,digital,False,0,0
APP000057,2023-12,42,,15300.0,4000.0,48,15.95,0.2651,607.0,5,0,own,auto,salaried,west,digital,False,0,0
APP000058,2024-10,85,42.4,22200.0,5800.0,36,13.97,0.2955,681.0,7,0,mortgage,auto,retired,west,digital,True,0,0
APP000059,2022-01,23,1.1,10000.0,2500.0,24,15.87,0.5104,,5,0,rent,debt_consolidation,salaried,south,digital,False,1,1
APP000060,2022-01,34,3.6,22300.0,12200.0,36,16.23,0.341,623.0,5,0,mortgage,debt_consolidation,salaried,west,digital,False,0,0
APP000061,2022-09,83,11.3,28900.0,15000.0,48,13.44,0.2075,639.0,8,0,rent,auto,salaried,midwest,digital,False,0,0
APP000062,2022-03,43,6.4,58000.0,38500.0,36,12.93,0.3365,727.0,3,0,rent,other,self_employed,west,broker,True,0,0
APP000063,2024-09,27,3.7,34700.0,41600.0,60,14.82,0.3966,653.0,1,0,rent,debt_consolidation,salaried,west,branch,False,1,1
APP000064,2024-12,55,5.8,44900.0,20500.0,24,12.4,0.3722,699.0,9,0,mortgage,home_improvement,salaried,south,partner,False,0,0
APP000065,2024-10,27,1.1,26000.0,5700.0,48,13.74,0.1171,702.0,5,0,mortgage,home_improvement,salaried,west,digital,False,0,0
APP000066,2023-03,64,9.6,36200.0,23200.0,12,16.53,0.7261,579.0,12,0,own,auto,salaried,south,digital,False,0,0
APP000067,2022-06,25,4.5,12600.0,4200.0,60,14.55,0.1101,626.0,2,0,rent,home_improvement,contract,south,broker,False,0,0
APP000068,2024-08,37,4.5,18900.0,8100.0,24,13.81,0.3599,674.0,5,0,mortgage,debt_consolidation,retired,south,digital,False,0,0
APP000069,2022-07,55,,38300.0,18000.0,60,16.43,0.4187,631.0,11,0,mortgage,debt_consolidation,self_employed,south,broker,True,0,0
APP000070,2024-02,47,8.6,46000.0,29800.0,36,16.78,0.3693,617.0,2,4,mortgage,other,contract,northeast,branch,True,0,0
APP000071,2024-11,25,7.4,27200.0,21700.0,36,14.68,0.4327,685.0,4,0,rent,auto,salaried,midwest,digital,True,0,0
APP000072,2024-09,48,,25900.0,8400.0,12,16.82,0.5529,578.0,7,0,mortgage,debt_consolidation,self_employed,west,digital,False,0,0
APP000073,2022-09,37,,31400.0,4200.0,60,15.8,0.1977,574.0,3,0,own,debt_consolidation,self_employed,south,branch,False,0,0
APP000074,2023-06,39,7.0,42600.0,38100.0,48,14.27,0.3505,,5,0,own,auto,salaried,south,branch,False,0,0
APP000075,2023-11,36,3.7,52600.0,7900.0,60,13.42,0.2228,,4,0,own,major_purchase,salaried,midwest,broker,False,0,0
APP000076,2024-06,51,7.2,33000.0,21900.0,48,14.89,0.232,660.0,8,0,rent,debt_consolidation,contract,south,branch,False,0,0
APP000077,2024-11,37,4.1,17900.0,5400.0,36,14.74,0.1815,666.0,6,0,mortgage,home_improvement,retired,midwest,digital,True,0,0
APP000078,2022-03,27,2.3,15300.0,1700.0,48,12.72,0.1102,,4,0,rent,auto,salaried,south,digital,False,0,0
APP000079,2023-12,30,5.7,22600.0,16600.0,48,14.76,0.37,635.0,4,0,own,auto,salaried,northeast,partner,False,0,0
APP000080,2024-05,36,2.8,17500.0,13300.0,60,15.96,0.3941,620.0,1,0,rent,other,self_employed,midwest,partner,True,0,1
APP000081,2024-10,45,3.3,19800.0,8500.0,24,13.08,0.2647,669.0,8,0,mortgage,debt_consolidation,self_employed,west,digital,True,0,0
APP000082,2023-03,44,3.0,31500.0,16300.0,12,16.26,0.6779,565.0,5,1,rent,debt_consolidation,self_employed,south,digital,False,1,1
APP000083,2022-11,30,5.0,28500.0,7800.0,24,13.61,0.2903,667.0,4,0,rent,debt_consolidation,salaried,northeast,branch,False,0,0
APP000084,2024-01,36,12.0,18800.0,12000.0,12,18.77,0.9216,495.0,8,0,rent,debt_consolidation,salaried,west,digital,False,1,1
APP000085,2023-02,53,14.0,51900.0,6600.0,48,14.0,0.0874,725.0,5,0,own,debt_consolidation,salaried,west,digital,True,0,0
APP000086,2024-10,34,2.4,28300.0,14100.0,48,17.09,0.1664,563.0,3,1,mortgage,auto,contract,northeast,partner,False,0,0
APP000087,2023-05,28,9.4,38800.0,19700.0,60,16.48,0.4248,669.0,8,0,mortgage,debt_consolidation,salaried,midwest,branch,False,0,0
APP000088,2022-04,47,1.7,11200.0,7100.0,60,19.13,0.6502,561.0,3,0,rent,debt_consolidation,contract,northeast,digital,True,1,1
APP000089,2023-02,36,4.5,20400.0,4900.0,12,17.24,0.7004,627.0,7,0,mortgage,debt_consolidation,salaried,midwest,partner,False,0,0
APP000090,2023-08,42,5.9,29300.0,6500.0,12,15.11,0.43,625.0,7,0,rent,auto,salaried,midwest,digital,False,0,0
APP000091,2022-09,30,1.4,28000.0,8500.0,36,15.13,0.4687,648.0,3,0,rent,major_purchase,retired,south,digital,True,0,0
APP000092,2024-03,52,,86000.0,68200.0,36,16.19,0.6055,630.0,7,0,rent,debt_consolidation,self_employed,south,digital,False,0,0
APP000093,2023-09,43,4.0,36200.0,20300.0,36,14.55,0.5295,,5,0,mortgage,home_improvement,contract,midwest,broker,True,0,0
APP000094,2024-03,32,5.9,8100.0,4800.0,36,16.35,0.3889,583.0,8,0,rent,major_purchase,salaried,south,partner,False,0,0
APP000095,2023-05,26,7.5,49500.0,36200.0,60,16.67,0.5728,633.0,4,0,mortgage,home_improvement,salaried,west,branch,True,0,1
APP000096,2023-01,49,15.5,36500.0,24200.0,36,15.96,0.5107,650.0,5,0,rent,major_purchase,salaried,west,partner,False,0,0
APP000097,2023-07,26,1.0,15500.0,4500.0,24,16.0,0.3289,524.0,8,0,rent,debt_consolidation,salaried,northeast,digital,False,0,0
APP000098,2024-10,44,2.8,22200.0,2800.0,24,13.59,0.1981,640.0,9,0,rent,auto,self_employed,west,digital,False,1,1
APP000099,2022-11,30,1.8,21200.0,11400.0,12,18.6,0.6215,474.0,6,0,rent,debt_consolidation,salaried,south,digital,False,1,1
APP000100,2024-11,62,26.2,73000.0,16900.0,36,14.52,0.2061,,4,0,mortgage,other,salaried,west,digital,True,0,0
APP000101,2023-05,20,0.7,10900.0,6100.0,48,14.66,0.2761,604.0,4,0,mortgage,major_purchase,salaried,south,digital,False,0,0
APP000102,2023-12,49,10.6,21700.0,24800.0,48,15.11,0.4666,612.0,6,0,mortgage,debt_consolidation,unemployed,south,digital,True,0,0
APP000103,2022-11,50,3.2,18100.0,7900.0,48,15.22,0.3514,665.0,1,0,own,debt_consolidation,salaried,northeast,digital,False,0,0
APP000104,2023-10,76,5.2,42700.0,34800.0,48,16.83,0.3577,588.0,7,0,mortgage,other,salaried,midwest,branch,False,0,0
APP000105,2024-07,52,9.3,27100.0,22000.0,48,15.18,0.3328,653.0,5,0,rent,home_improvement,retired,south,branch,True,0,0
APP000106,2022-10,28,4.4,14800.0,11300.0,36,15.75,0.3822,660.0,5,0,rent,debt_consolidation,salaried,northeast,digital,False,0,0
APP000107,2022-07,54,5.3,30600.0,5800.0,24,14.87,0.1953,689.0,14,0,rent,debt_consolidation,salaried,west,broker,False,0,0
APP000108,2022-08,40,8.1,16500.0,2700.0,60,14.89,0.2102,619.0,2,0,own,medical,unemployed,midwest,branch,False,0,0
APP000109,2024-07,34,1.8,33800.0,6000.0,24,15.53,0.4329,639.0,3,0,mortgage,debt_consolidation,self_employed,west,branch,True,0,0
APP000110,2024-09,23,4.7,33300.0,23300.0,12,18.81,1.0379,495.0,4,0,mortgage,debt_consolidation,retired,west,partner,False,1,1
APP000111,2024-05,36,5.4,34100.0,9200.0,48,13.08,0.2055,727.0,5,0,own,home_improvement,salaried,midwest,broker,True,0,0
APP000112,2023-07,36,10.8,27800.0,9900.0,24,11.7,0.2814,684.0,3,0,own,debt_consolidation,salaried,west,digital,False,0,0
APP000113,2022-04,39,2.1,27300.0,6200.0,60,14.39,0.1284,676.0,3,0,mortgage,major_purchase,retired,northeast,branch,False,0,0
APP000114,2024-10,42,11.9,22500.0,9100.0,24,14.57,0.3021,656.0,9,2,mortgage,debt_consolidation,salaried,south,partner,False,0,0
APP000115,2024-02,37,8.6,19700.0,13600.0,24,14.93,0.5302,571.0,0,0,mortgage,debt_consolidation,salaried,northeast,digital,False,0,0
APP000116,2024-11,42,,31700.0,29100.0,36,15.58,0.4725,583.0,8,2,own,medical,self_employed,midwest,digital,False,1,1
APP000117,2022-10,59,12.7,46000.0,25700.0,36,16.56,0.2328,625.0,7,0,mortgage,home_improvement,salaried,northeast,branch,False,0,0
APP000118,2024-06,40,,67700.0,16400.0,60,15.97,0.2793,611.0,5,1,mortgage,debt_consolidation,contract,west,digital,False,0,0
APP000119,2024-02,42,,55200.0,20000.0,36,14.21,0.281,602.0,5,0,mortgage,debt_consolidation,self_employed,northeast,partner,False,0,0
APP000120,2023-08,27,1.2,10700.0,9900.0,24,15.88,0.7754,600.0,3,0,rent,debt_consolidation,self_employed,south,digital,False,0,0
APP000121,2022-05,58,5.7,71100.0,14400.0,24,13.5,0.1916,717.0,9,0,mortgage,medical,salaried,south,broker,True,0,0
APP000122,2024-08,61,11.9,66800.0,38900.0,36,15.28,0.4137,653.0,4,0,own,debt_consolidation,retired,south,digital,False,0,0
APP000123,2024-09,32,4.3,18900.0,6300.0,36,13.18,0.2578,655.0,3,1,mortgage,home_improvement,salaried,south,digital,True,1,1
APP000124,2024-04,47,13.4,23600.0,8300.0,48,14.99,0.3057,636.0,4,0,own,debt_consolidation,salaried,midwest,broker,True,0,0
APP000125,2022-04,33,7.5,56600.0,5500.0,24,13.49,0.1646,696.0,8,0,mortgage,debt_consolidation,contract,west,branch,True,0,0
APP000126,2024-01,36,,44500.0,11800.0,36,14.43,0.2382,614.0,6,0,own,auto,self_employed,midwest,branch,False,0,0
APP000127,2022-02,73,,117400.0,16900.0,36,14.5,0.33,652.0,9,0,mortgage,auto,self_employed,south,digital,False,0,0
APP000128,2024-11,23,1.1,22900.0,23100.0,24,16.85,0.7601,552.0,6,0,rent,debt_consolidation,salaried,west,digital,True,0,0
APP000129,2022-04,36,1.3,15400.0,4000.0,48,15.62,0.3005,641.0,6,0,mortgage,medical,self_employed,south,digital,True,0,0
APP000130,2024-07,37,3.5,55700.0,35800.0,36,17.38,0.5678,612.0,4,0,mortgage,debt_consolidation,salaried,south,digital,True,0,0
APP000131,2023-07,50,3.0,42000.0,34700.0,36,14.14,0.326,635.0,8,0,rent,home_improvement,salaried,south,branch,False,0,0
APP000132,2022-11,27,4.4,9900.0,3500.0,36,16.15,0.2152,567.0,0,0,rent,debt_consolidation,salaried,northeast,branch,False,0,0
APP000133,2024-11,38,9.9,64400.0,8300.0,24,11.46,0.1888,756.0,6,0,mortgage,debt_consolidation,salaried,south,broker,False,0,0
APP000134,2024-11,56,2.2,42300.0,40600.0,36,15.57,0.4862,597.0,7,0,own,auto,salaried,south,partner,True,0,0
APP000135,2024-06,45,,30700.0,1300.0,36,15.95,0.3562,603.0,5,0,mortgage,debt_consolidation,self_employed,west,partner,False,0,0
APP000136,2023-07,19,1.6,,2400.0,24,15.22,0.1994,667.0,2,0,own,debt_consolidation,salaried,south,digital,False,0,0
APP000137,2023-11,29,2.1,27000.0,1000.0,36,13.87,0.2911,622.0,7,0,own,debt_consolidation,salaried,northeast,broker,False,1,0
APP000138,2024-09,41,13.7,40300.0,16400.0,12,18.04,0.8768,565.0,3,0,rent,major_purchase,retired,south,digital,True,1,1
APP000139,2022-09,54,4.8,70000.0,31300.0,48,14.24,0.3735,690.0,4,1,mortgage,medical,salaried,south,broker,False,0,0
APP000140,2024-12,41,7.5,7900.0,9600.0,24,19.95,0.9411,484.0,3,0,mortgage,other,unemployed,west,digital,False,1,1
APP000141,2023-09,51,4.3,19100.0,11400.0,48,14.61,0.3292,640.0,2,0,rent,major_purchase,salaried,south,digital,False,0,0
APP000142,2024-04,44,1.3,41400.0,17500.0,48,15.87,0.2319,641.0,8,0,mortgage,home_improvement,salaried,west,branch,False,0,0
APP000143,2024-01,35,4.9,41400.0,4100.0,36,16.43,0.18,588.0,10,0,rent,medical,self_employed,west,digital,True,0,0
APP000144,2022-10,35,7.2,28500.0,14800.0,36,15.93,0.383,657.0,4,0,mortgage,debt_consolidation,salaried,northeast,digital,False,0,0
APP000145,2024-10,38,0.6,13400.0,9400.0,24,15.57,0.422,578.0,3,0,mortgage,home_improvement,contract,northeast,digital,True,1,1
APP000146,2024-12,57,,26400.0,4900.0,36,13.09,0.2574,728.0,10,0,rent,debt_consolidation,self_employed,south,digital,False,0,0
APP000147,2022-01,48,11.5,46200.0,45400.0,24,16.83,0.9026,648.0,6,0,own,home_improvement,contract,west,branch,False,0,0
APP000148,2023-12,25,9.4,48500.0,12500.0,24,14.57,0.336,,2,0,rent,major_purchase,salaried,south,digital,False,0,0
APP000149,2023-12,41,13.8,36300.0,19000.0,24,10.5,0.3696,778.0,5,0,mortgage,major_purchase,salaried,west,digital,True,0,0
APP000150,2024-04,40,18.1,36200.0,16500.0,60,12.18,0.1524,753.0,5,0,own,debt_consolidation,salaried,west,digital,True,0,0
APP000151,2023-08,28,4.2,32100.0,16200.0,48,13.27,0.1794,,3,0,own,home_improvement,salaried,northeast,digital,False,0,0
APP000152,2024-07,26,4.0,18600.0,7000.0,12,14.11,0.4816,633.0,3,0,rent,debt_consolidation,self_employed,northeast,broker,False,1,0
APP000153,2024-04,64,12.0,43100.0,24600.0,36,14.04,0.3281,706.0,4,0,rent,auto,salaried,northeast,digital,True,1,0
APP000154,2023-05,44,8.7,36400.0,21300.0,24,15.03,0.4873,657.0,7,0,rent,home_improvement,salaried,south,digital,False,0,0
APP000155,2022-08,40,2.1,38300.0,5100.0,24,14.84,0.2223,,0,0,own,home_improvement,salaried,south,broker,False,0,0
APP000156,2022-12,56,,53900.0,44800.0,48,15.68,0.2917,631.0,7,0,mortgage,debt_consolidation,self_employed,south,broker,False,0,0
APP000157,2022-05,40,1.1,35800.0,5000.0,60,13.92,0.1867,640.0,8,0,mortgage,medical,salaried,midwest,digital,False,0,0
APP000158,2024-09,48,6.9,22000.0,8300.0,12,15.25,0.6569,650.0,5,0,own,small_business,retired,west,digital,False,0,0
APP000159,2023-07,44,5.4,28200.0,20200.0,24,15.99,0.6489,664.0,4,0,own,major_purchase,salaried,west,digital,True,0,0
APP000160,2024-11,26,4.4,14100.0,4200.0,24,16.43,0.3872,,3,0,rent,major_purchase,salaried,midwest,digital,False,1,1
APP000161,2024-06,42,2.1,50300.0,25100.0,24,17.21,0.7565,,4,1,mortgage,debt_consolidation,salaried,south,digital,False,0,0
APP000162,2023-05,49,,69500.0,49000.0,36,15.12,0.3621,675.0,7,0,rent,other,self_employed,south,digital,False,0,0
APP000163,2023-05,68,5.5,35800.0,30000.0,60,15.59,0.3213,614.0,5,0,mortgage,major_purchase,contract,northeast,broker,True,0,0
APP000164,2024-06,34,2.3,22700.0,8000.0,36,16.42,0.1729,574.0,4,0,rent,debt_consolidation,salaried,midwest,partner,True,0,0
APP000165,2023-04,34,3.9,21000.0,5900.0,36,14.69,0.4499,673.0,4,0,own,debt_consolidation,salaried,midwest,branch,True,0,0
APP000166,2023-10,49,6.9,36600.0,27400.0,60,15.87,0.4129,650.0,7,0,mortgage,home_improvement,salaried,northeast,digital,False,0,0
APP000167,2023-12,54,7.9,43700.0,15100.0,60,15.96,0.3629,670.0,8,0,rent,debt_consolidation,salaried,northeast,digital,True,1,1
APP000168,2024-05,46,4.5,30200.0,19700.0,24,17.45,0.7306,639.0,3,0,mortgage,debt_consolidation,salaried,midwest,digital,True,0,0
APP000169,2022-05,39,3.3,20200.0,15700.0,36,17.54,0.5276,542.0,7,0,mortgage,home_improvement,salaried,midwest,digital,False,0,0
APP000170,2023-03,31,5.3,51300.0,51700.0,36,16.58,0.5633,,4,1,rent,debt_consolidation,salaried,west,partner,True,0,0
APP000171,2024-10,20,1.6,6900.0,3400.0,36,16.05,0.3861,594.0,5,0,rent,debt_consolidation,salaried,south,digital,True,0,0
APP000172,2024-10,36,10.6,31800.0,1600.0,24,12.83,0.1475,735.0,5,0,mortgage,major_purchase,salaried,midwest,partner,False,0,0
APP000173,2022-10,30,7.6,11900.0,2900.0,48,14.7,0.4127,673.0,4,0,mortgage,small_business,retired,northeast,branch,True,0,0
APP000174,2022-02,31,4.9,27100.0,21300.0,36,15.53,0.5947,593.0,1,0,mortgage,small_business,contract,south,digital,False,0,0
APP000175,2024-11,43,,35600.0,15500.0,48,15.19,0.1483,665.0,5,0,rent,debt_consolidation,self_employed,south,partner,False,0,0
APP000176,2023-05,31,4.2,28100.0,22000.0,60,15.23,0.3505,635.0,6,0,mortgage,other,salaried,south,branch,False,0,0
APP000177,2022-04,33,3.7,32900.0,9600.0,24,14.38,0.3021,628.0,7,0,mortgage,major_purchase,salaried,south,digital,False,0,0
APP000178,2024-05,34,,19400.0,14900.0,12,19.73,1.1246,,5,0,mortgage,home_improvement,salaried,northeast,branch,False,1,1
APP000179,2022-01,49,4.5,24800.0,7900.0,48,14.92,0.2223,610.0,5,0,mortgage,debt_consolidation,salaried,west,digital,True,0,0
APP000180,2024-07,33,7.1,66600.0,14000.0,60,13.27,0.1695,752.0,6,0,rent,auto,salaried,northeast,digital,False,0,0
APP000181,2023-07,61,,75200.0,51300.0,36,13.48,0.2782,720.0,6,1,mortgage,small_business,self_employed,midwest,broker,True,0,0
APP000182,2023-04,38,3.1,29600.0,7600.0,60,15.45,0.138,,6,0,own,debt_consolidation,salaried,midwest,digital,False,1,0
APP000183,2023-09,30,8.5,30200.0,6400.0,36,17.49,0.1936,574.0,2,1,rent,debt_consolidation,salaried,south,digital,True,1,0
APP000184,2024-06,40,,42900.0,14800.0,36,16.1,0.2832,567.0,5,0,mortgage,auto,self_employed,south,digital,False,0,0
APP000185,2023-10,37,2.0,15000.0,4000.0,36,14.6,0.3351,576.0,3,0,mortgage,major_purchase,salaried,midwest,branch,False,0,0
APP000186,2024-09,34,17.8,62300.0,55000.0,36,15.11,0.5067,702.0,4,0,mortgage,debt_consolidation,salaried,south,digital,True,0,0
APP000187,2023-12,49,,28400.0,9300.0,24,18.23,0.5424,582.0,7,2,rent,major_purchase,self_employed,midwest,digital,False,1,1
APP000188,2024-05,63,2.6,27500.0,14700.0,48,14.94,0.241,653.0,11,0,mortgage,major_purchase,salaried,south,digital,True,0,0
APP000189,2024-06,58,4.0,53700.0,9500.0,12,15.87,0.454,701.0,7,0,mortgage,home_improvement,salaried,south,digital,False,0,0
APP000190,2024-09,42,4.7,21400.0,14000.0,48,13.94,0.2721,681.0,11,0,rent,medical,retired,west,broker,True,0,0
APP000191,2022-10,69,7.6,55600.0,4700.0,24,12.42,0.1846,758.0,7,0,rent,auto,contract,south,digital,False,0,0
APP000192,2022-08,40,7.3,23800.0,4100.0,36,15.45,0.2181,658.0,4,0,rent,auto,salaried,west,digital,False,0,0
APP000193,2024-10,53,16.2,63700.0,15400.0,12,14.36,0.4056,700.0,8,0,rent,debt_consolidation,salaried,midwest,digital,False,0,0
APP000194,2024-09,31,4.8,21600.0,5000.0,36,14.33,0.2693,,5,1,rent,home_improvement,salaried,south,digital,True,0,0
APP000195,2023-11,43,8.4,25000.0,14200.0,12,15.03,0.7168,649.0,5,0,mortgage,medical,salaried,south,partner,True,0,0
APP000196,2022-09,43,1.6,46300.0,16200.0,36,14.41,0.2783,706.0,6,0,mortgage,debt_consolidation,self_employed,midwest,partner,False,0,0
APP000197,2024-11,48,3.1,26900.0,11800.0,24,14.93,0.2932,599.0,8,0,mortgage,debt_consolidation,salaried,west,digital,False,0,0
