customer_id,tenure_months,contract,internet_service,payment_method,paperless_billing,n_services,monthly_charges,total_charges,support_tickets_90d,churn
CUS000034,29,month_to_month,none,credit_card,True,0,14.1,397.86,0,0
CUS000035,26,month_to_month,none,credit_card,True,5,53.46,1321.3,0,0
CUS000036,72,month_to_month,fiber,electronic_check,True,2,56.16,4234.13,1,1
CUS000037,72,month_to_month,dsl,electronic_check,False,5,61.39,4482.25,2,0
CUS000038,34,month_to_month,fiber,electronic_check,True,4,66.62,2167.52,1,0
CUS000039,9,two_year,none,electronic_check,False,3,34.69,316.35,1,0
CUS000040,60,two_year,fiber,electronic_check,False,2,56.55,3164.03,1,0
CUS000041,67,one_year,fiber,credit_card,True,6,82.5,5362.45,1,0
CUS000042,64,month_to_month,dsl,bank_transfer,True,2,49.7,3033.62,0,0
CUS000043,20,month_to_month,dsl,credit_card,False,3,48.5,975.76,0,0
CUS000044,46,one_year,none,electronic_check,True,2,35.74,1543.94,0,0
CUS000045,30,month_to_month,dsl,credit_card,True,3,45.29,1281.74,0,0
CUS000046,23,month_to_month,dsl,electronic_check,True,0,33.49,807.34,0,1
CUS000047,70,month_to_month,dsl,credit_card,True,5,54.51,3596.66,2,0
CUS000048,1,one_year,dsl,mailed_check,True,2,36.18,,0,1
CUS000049,47,two_year,fiber,bank_transfer,True,1,56.7,2709.91,0,0
CUS000050,45,month_to_month,none,electronic_check,True,0,19.92,879.3,0,0
CUS000051,71,month_to_month,fiber,electronic_check,True,4,78.34,5449.3,1,0
CUS000052,39,one_year,fiber,mailed_check,True,4,64.57,2522.58,1,0
CUS000053,43,two_year,dsl,bank_transfer,True,4,50.72,2266.85,0,0
CUS000054,59,month_to_month,none,electronic_check,False,4,45.34,2521.07,0,0
CUS000055,8,month_to_month,fiber,electronic_check,True,0,46.08,345.92,2,0
CUS000056,20,two_year,dsl,mailed_check,True,2,42.49,864.13,2,0
CUS000057,30,month_to_month,fiber,electronic_check,False,3,57.42,1761.64,2,1
CUS000058,52,one_year,fiber,mailed_check,True,6,73.48,3893.22,0,0
CUS000059,59,month_to_month,fiber,credit_card,True,1,48.39,2971.89,2,0
CUS000060,5,month_to_month,none,bank_transfer,True,3,30.81,156.83,1,0
CUS000061,55,month_to_month,fiber,bank_transfer,True,3,62.77,3584.11,1,0
CUS000062,47,month_to_month,fiber,credit_card,True,4,62.67,2796.08,0,1
CUS000063,29,month_to_month,dsl,bank_transfer,True,6,63.26,1824.47,0,0
CUS000064,5,one_year,dsl,bank_transfer,True,1,33.02,161.02,1,1
CUS000065,33,month_to_month,dsl,electronic_check,False,6,59.32,1897.64,0,0
CUS000066,18,one_year,fiber,bank_transfer,False,6,76.78,1301.53,0,0
CUS000067,69,one_year,dsl,mailed_check,False,1,44.2,3197.56,0,0
CUS000068,63,month_to_month,dsl,bank_transfer,False,5,56.53,3592.97,1,0
CUS000069,35,month_to_month,fiber,bank_transfer,True,4,65.38,2165.77,1,0
CUS000070,3,two_year,fiber,bank_transfer,True,3,62.32,184.31,0,0
CUS000071,71,one_year,fiber,bank_transfer,True,5,74.06,5136.86,1,0
CUS000072,7,month_to_month,fiber,mailed_check,False,1,52.73,362.41,2,1
CUS000073,51,two_year,fiber,credit_card,False,1,63.5,3321.9,1,0
CUS000074,11,month_to_month,fiber,mailed_check,False,5,72.45,800.22,0,1
CUS000075,18,two_year,dsl,bank_transfer,True,4,54.43,977.09,2,0
CUS000076,8,one_year,fiber,credit_card,True,3,54.35,430.11,2,0
CUS000077,19,two_year,fiber,credit_card,False,6,76.28,1521.05,0,0
CUS000078,12,month_to_month,none,electronic_check,True,1,17.24,194.99,1,1
CUS000079,70,month_to_month,fiber,credit_card,True,1,57.25,3911.83,1,0
CUS000080,39,one_year,fiber,electronic_check,False,1,43.21,1695.92,0,0
CUS000081,66,month_to_month,dsl,electronic_check,True,4,62.33,4289.45,0,0
CUS000082,34,month_to_month,dsl,bank_transfer,False,1,33.43,1122.99,0,0
CUS000083,16,month_to_month,dsl,credit_card,False,4,47.33,729.96,0,1
CUS000084,31,month_to_month,none,credit_card,False,1,28.59,849.31,0,0
CUS000085,46,month_to_month,dsl,electronic_check,False,2,41.09,1832.61,1,0
CUS000086,54,one_year,fiber,electronic_check,True,4,61.45,3215.46,0,0
CUS000087,49,month_to_month,fiber,mailed_check,True,6,77.33,3667.97,1,0
CUS000088,14,one_year,fiber,electronic_check,False,1,52.68,756.55,0,0
CUS000089,35,month_to_month,dsl,electronic_check,False,4,44.66,1544.52,1,0
CUS000090,1,month_to_month,fiber,electronic_check,True,1,42.23,,1,0
CUS000091,38,two_year,fiber,mailed_check,False,0,41.58,1568.51,1,0
CUS000092,25,one_year,fiber,bank_transfer,False,6,74.14,1789.23,0,0
CUS000093,67,month_to_month,dsl,mailed_check,True,2,42.12,2874.13,0,0
CUS000094,19,month_to_month,fiber,electronic_check,True,4,69.36,1356.78,0,0
CUS000095,60,two_year,dsl,bank_transfer,True,2,43.4,2592.22,1,0
CUS000096,36,one_year,fiber,electronic_check,True,5,69.75,2506.66,1,0
CUS000097,53,one_year,none,electronic_check,True,0,18.27,940.22,1,0
CUS000098,35,month_to_month,fiber,bank_transfer,False,1,55.96,1916.28,0,0
CUS000099,7,month_to_month,dsl,mailed_check,True,4,52.0,375.02,0,0
CUS000100,72,one_year,dsl,electronic_check,True,0,28.41,1923.74,0,0
CUS000101,34,two_year,none,bank_transfer,False,1,29.78,949.45,1,0
CUS000102,49,month_to_month,none,electronic_check,False,0,18.51,936.41,0,0
CUS000103,37,month_to_month,dsl,mailed_check,False,0,23.67,831.57,0,0
CUS000104,29,month_to_month,dsl,credit_card,True,5,53.18,1575.31,0,0
CUS000105,1,one_year,dsl,electronic_check,True,5,58.29,,2,0
CUS000106,29,month_to_month,dsl,mailed_check,True,0,28.9,793.76,1,0
CUS000107,39,one_year,dsl,credit_card,False,4,54.17,1983.52,0,0
CUS000108,2,month_to_month,dsl,bank_transfer,True,6,61.32,125.84,1,0
CUS000109,20,month_to_month,fiber,electronic_check,False,5,63.65,1272.49,1,1
CUS000110,36,month_to_month,dsl,bank_transfer,True,5,58.24,1967.48,1,0
CUS000111,50,month_to_month,fiber,electronic_check,False,2,55.35,2857.31,1,0
CUS000112,34,one_year,fiber,electronic_check,False,6,79.69,2672.72,1,0
CUS000113,2,month_to_month,none,bank_transfer,True,5,41.81,83.89,0,1
CUS000114,33,one_year,none,credit_card,True,4,37.09,1198.19,0,0
CUS000115,21,month_to_month,fiber,credit_card,True,3,56.56,1140.67,0,0
CUS000116,2,two_year,dsl,electronic_check,True,5,58.41,119.81,1,0
CUS000117,36,two_year,none,credit_card,True,4,45.34,1604.74,0,0
CUS000118,31,one_year,dsl,bank_transfer,True,2,42.23,1336.97,0,0
CUS000119,43,one_year,fiber,bank_transfer,True,1,55.69,2328.88,1,0
CUS000120,37,month_to_month,fiber,electronic_check,True,2,48.62,1845.64,2,0
CUS000121,15,two_year,fiber,electronic_check,True,5,69.24,996.35,0,0
CUS000122,24,one_year,fiber,bank_transfer,True,1,46.88,1110.14,3,0
CUS000123,16,two_year,fiber,credit_card,False,6,67.84,1099.76,0,0
CUS000124,14,one_year,fiber,electronic_check,False,3,68.57,1003.48,0,1
CUS000125,9,two_year,dsl,credit_card,True,5,62.53,533.16,0,0
CUS000126,50,month_to_month,dsl,mailed_check,True,6,69.26,3593.3,1,0
CUS000127,10,one_year,dsl,credit_card,True,2,39.35,392.93,0,0
CUS000128,71,month_to_month,dsl,mailed_check,True,3,46.11,3228.01,3,0
CUS000129,69,one_year,fiber,electronic_check,True,4,75.23,4972.37,0,0
CUS000130,17,two_year,fiber,credit_card,True,6,78.92,1365.36,1,0
CUS000131,21,month_to_month,fiber,bank_transfer,False,2,51.22,1058.75,2,0
CUS000132,10,two_year,fiber,credit_card,False,5,74.88,726.79,0,0
CUS000133,60,one_year,dsl,mailed_check,False,3,47.69,2891.0,1,0
CUS000134,15,month_to_month,none,bank_transfer,True,1,20.44,289.29,0,0
CUS000135,29,month_to_month,dsl,bank_transfer,True,2,44.86,1260.36,0,0
CUS000136,2,two_year,fiber,credit_card,True,0,46.1,96.35,0,0
CUS000137,33,month_to_month,fiber,mailed_check,True,0,44.46,1394.34,2,1
CUS000138,45,one_year,dsl,mailed_check,True,6,62.07,2862.42,0,0
CUS000139,55,month_to_month,fiber,electronic_check,False,5,70.44,3990.46,1,0
CUS000140,69,month_to_month,fiber,bank_transfer,False,5,73.0,5232.23,1,0
CUS000141,68,month_to_month,fiber,bank_transfer,True,0,45.83,2938.21,1,0
CUS000142,29,two_year,fiber,credit_card,True,6,73.35,2132.99,3,0
CUS000143,51,month_to_month,dsl,electronic_check,True,4,58.13,2835.76,0,0
CUS000144,2,month_to_month,fiber,bank_transfer,False,4,70.5,145.29,1,1
CUS000145,39,two_year,fiber,mailed_check,False,3,66.43,2617.8,2,0
CUS000146,66,month_to_month,fiber,credit_card,False,1,49.95,3096.41,0,0
CUS000147,55,month_to_month,fiber,credit_card,False,5,73.85,4203.62,0,0
CUS000148,66,month_to_month,dsl,bank_transfer,False,3,46.96,3134.35,0,0
CUS000149,50,month_to_month,fiber,electronic_check,False,4,66.58,3394.17,0,1
CUS000150,42,two_year,none,electronic_check,True,4,42.29,1797.55,1,0
CUS000151,66,month_to_month,none,credit_card,True,1,21.24,1366.61,0,0
CUS000152,11,one_year,dsl,mailed_check,True,0,35.88,378.26,2,0
CUS000153,53,month_to_month,fiber,mailed_check,True,2,58.78,3268.67,1,0
CUS000154,59,two_year,fiber,credit_card,False,5,73.68,4285.23,0,0
CUS000155,57,month_to_month,dsl,electronic_check,True,1,34.6,2046.9,0,0
CUS000156,58,two_year,dsl,mailed_check,True,6,61.41,3560.09,2,0
CUS000157,17,two_year,fiber,electronic_check,False,2,56.84,994.08,0,0
CUS000158,35,month_to_month,fiber,electronic_check,False,4,60.79,2080.86,0,1
CUS000159,35,month_to_month,dsl,mailed_check,True,1,36.47,1222.28,1,0
CUS000160,16,month_to_month,none,mailed_check,True,2,22.99,346.36,0,0
CUS000161,33,two_year,fiber,mailed_check,True,6,78.86,2719.72,2,0
CUS000162,49,one_year,dsl,electronic_check,True,6,61.42,2874.16,0,0
CUS000163,48,month_to_month,fiber,electronic_check,False,6,71.45,3385.85,1,0
CUS000164,50,one_year,fiber,bank_transfer,True,6,81.21,3842.6,0,0
CUS000165,61,month_to_month,fiber,bank_transfer,True,0,50.08,2947.6,0,0
CUS000166,33,two_year,dsl,bank_transfer,True,6,68.59,2219.36,0,0
CUS000167,55,month_to_month,none,electronic_check,True,6,47.61,2553.7,0,0
CUS000168,36,month_to_month,fiber,credit_card,False,6,78.51,2863.07,2,0
CUS000169,44,two_year,dsl,electronic_check,True,1,32.09,1405.55,0,0
CUS000170,46,month_to_month,none,bank_transfer,True,3,36.94,1670.18,0,0
CUS000171,25,month_to_month,fiber,credit_card,True,3,62.24,1472.58,1,0
CUS000172,17,two_year,fiber,credit_card,True,3,59.28,1032.92,1,0
CUS000173,36,two_year,fiber,mailed_check,False,1,48.04,1701.23,0,0
CUS000174,29,month_to_month,fiber,bank_transfer,False,3,60.62,1644.3,1,0
CUS000175,50,one_year,fiber,mailed_check,False,6,82.34,4197.5,0,0
CUS000176,3,two_year,fiber,credit_card,False,2,54.72,157.12,0,0
CUS000177,14,month_to_month,fiber,credit_card,False,3,66.63,872.01,1,1
CUS000178,6,two_year,fiber,credit_card,True,1,54.88,319.89,0,1
CUS000179,14,month_to_month,fiber,electronic_check,False,4,71.47,987.23,0,1
CUS000180,43,month_to_month,fiber,electronic_check,True,6,77.45,3480.68,2,1
CUS000181,31,one_year,fiber,mailed_check,True,5,74.64,2263.97,0,0
CUS000182,28,two_year,fiber,electronic_check,False,2,62.13,1734.4,3,0
CUS000183,47,two_year,fiber,electronic_check,False,2,61.83,2967.09,0,0
CUS000184,2,month_to_month,fiber,electronic_check,True,3,58.5,115.44,1,1
CUS000185,48,one_year,none,electronic_check,True,5,45.33,2041.44,0,0
CUS000186,43,one_year,none,electronic_check,False,6,53.75,2330.49,0,0
CUS000187,51,month_to_month,fiber,electronic_check,False,3,61.48,2960.91,0,0
CUS000188,40,two_year,dsl,electronic_check,True,3,37.26,1518.72,1,0
CUS000189,44,month_to_month,none,mailed_check,True,1,30.02,1276.15,0,0
CUS000190,63,two_year,fiber,electronic_check,False,2,50.93,3060.34,1,0
CUS000191,66,month_to_month,none,credit_card,True,0,25.27,1722.64,0,0
CUS000192,67,month_to_month,fiber,bank_transfer,True,0,42.94,2935.55,1,1
CUS000193,52,two_year,dsl,electronic_check,False,0,37.32,1910.85,0,0
CUS000194,40,one_year,none,mailed_check,False,1,19.69,750.6,1,0
CUS000195,31,one_year,none,credit_card,True,6,45.93,1451.08,1,0
CUS000196,41,one_year,dsl,electronic_check,True,2,39.06,1593.08,0,0
CUS000197,16,month_to_month,dsl,bank_transfer,True,0,26.91,404.39,1,0
CUS000198,22,one_year,dsl,bank_transfer,True,3,44.84,1034.08,1,0
CUS000199,49,month_to_month,fiber,electronic_check,False,6,82.87,4095.31,0,0
CUS000200,40,month_to_month,dsl,electronic_check,True,5,56.36,2335.16,0,0
CUS000201,55,month_to_month,dsl,electronic_check,True,2,45.84,2442.51,1,0
CUS000202,35,one_year,fiber,electronic_check,True,1,49.37,1780.1,1,0
CUS000203,7,two_year,none,mailed_check,False,2,33.57,229.11,0,0
CUS000204,72,month_to_month,dsl,bank_transfer,True,3,48.76,3549.88,1,0
CUS000205,2,two_year,dsl,bank_transfer,False,1,41.2,84.4,1,0
CUS000206,21,one_year,dsl,electronic_check,True,5,64.89,1368.89,0,1
CUS000207,36,month_to_month,none,credit_card,True,3,37.03,1372.16,1,0
CUS000208,71,two_year,fiber,electronic_check,True,6,70.6,4841.11,0,0
CUS000209,52,month_to_month,fiber,bank_transfer,True,1,48.65,2508.66,0,0
CUS000210,70,month_to_month,dsl,electronic_check,False,3,51.51,3749.93,0,0
CUS000211,54,month_to_month,fiber,credit_card,True,1,47.75,2509.78,0,0
CUS000212,56,month_to_month,dsl,electronic_check,False,6,63.38,3553.84,1,0
CUS000213,18,month_to_month,fiber,mailed_check,False,5,73.54,1316.37,1,0
CUS000214,35,two_year,fiber,credit_card,False,4,71.78,2454.96,2,0
CUS000215,9,one_year,fiber,credit_card,True,1,46.6,405.04,0,0
CUS000216,39,month_to_month,fiber,electronic_check,True,1,42.16,1554.48,0,0
CUS000217,49,one_year,none,electronic_check,True,2,35.14,1721.04,3,0
CUS000218,5,month_to_month,fiber,mailed_check,True,2,58.0,299.69,0,0
CUS000219,34,month_to_month,dsl,credit_card,True,0,29.47,1023.07,2,0
CUS000220,38,month_to_month,fiber,bank_transfer,True,4,60.28,2308.21,1,1
CUS000221,30,one_year,none,bank_transfer,False,0,9.69,285.7,1,0
CUS000222,50,one_year,dsl,mailed_check,True,3,41.26,2111.83,2,0
CUS000223,11,month_to_month,fiber,electronic_check,True,3,63.26,655.95,0,1
CUS000224,1,month_to_month,fiber,credit_card,True,2,55.19,,0,0
CUS000225,56,two_year,fiber,credit_card,False,1,50.32,2858.73,0,0
CUS000226,50,one_year,fiber,electronic_check,True,2,56.84,2812.71,0,0
CUS000227,29,two_year,dsl,credit_card,True,0,34.18,927.49,1,0
CUS000228,68,month_to_month,dsl,credit_card,True,5,60.86,3969.17,1,0
CUS000229,8,month_to_month,dsl,mailed_check,False,0,38.63,288.99,0,0
CUS000230,11,two_year,dsl,credit_card,False,5,54.77,609.45,0,0
CUS000231,50,two_year,none,electronic_check,True,6,46.75,2229.12,0,0
CUS000232,35,month_to_month,dsl,bank_transfer,True,4,57.46,2000.24,0,0
CUS000233,55,two_year,none,mailed_check,True,3,34.58,1777.13,0,0
CUS000234,25,month_to_month,fiber,mailed_check,True,6,72.2,1777.7,0,0
CUS000235,48,month_to_month,dsl,credit_card,False,5,62.19,3039.95,0,1
CUS000236,72,month_to_month,fiber,mailed_check,True,2,57.11,3923.98,2,0
CUS000237,29,month_to_month,fiber,bank_transfer,True,4,58.05,1625.01,0,1
CUS000238,23,month_to_month,none,mailed_check,True,0,20.09,443.97,1,0
CUS000239,3,one_year,dsl,electronic_check,True,6,61.89,175.53,1,0
CUS000240,30,month_to_month,fiber,electronic_check,True,5,77.89,2381.81,1,1
CUS000241,26,month_to_month,fiber,electronic_check,True,6,71.57,1885.77,2,1
CUS000242,42,two_year,fiber,electronic_check,True,6,70.39,3094.55,0,0
CUS000243,22,one_year,fiber,electronic_check,True,2,56.92,1302.35,1,0
CUS000244,12,one_year,dsl,credit_card,False,1,33.71,422.7,0,0
CUS000245,9,month_to_month,dsl,bank_transfer,False,2,30.29,282.34,0,1
CUS000246,44,month_to_month,fiber,mailed_check,False,4,65.21,2952.58,1,0
CUS000247,17,two_year,none,credit_card,True,6,53.34,915.66,0,0
CUS000248,2,month_to_month,fiber,credit_card,True,1,52.33,106.65,0,1
CUS000249,64,month_to_month,none,mailed_check,True,4,44.29,2892.32,2,0
CUS000250,51,two_year,fiber,credit_card,False,3,68.08,3636.14,0,0
CUS000251,67,month_to_month,dsl,credit_card,True,0,29.35,2027.8,1,0
CUS000252,11,month_to_month,none,electronic_check,True,4,38.84,413.6,1,1
CUS000253,57,two_year,fiber,credit_card,True,6,66.78,3922.79,1,0
CUS000254,65,month_to_month,fiber,bank_transfer,False,4,59.37,3702.26,0,0
CUS000255,67,month_to_month,none,bank_transfer,True,5,38.61,2480.12,0,0
CUS000256,13,month_to_month,dsl,electronic_check,True,6,69.2,855.2,2,1
CUS000257,21,month_to_month,dsl,bank_transfer,True,6,71.24,1423.51,1,0
CUS000258,51,month_to_month,dsl,mailed_check,False,4,56.47,2915.31,1,0
CUS000259,1,month_to_month,dsl,credit_card,True,2,46.68,,0,0
CUS000260,21,month_to_month,fiber,bank_transfer,False,1,61.42,1318.37,1,0
CUS000261,44,month_to_month,fiber,bank_transfer,False,6,79.6,3628.68,1,1
CUS000262,65,month_to_month,none,bank_transfer,True,4,46.92,2985.16,2,0
CUS000263,70,month_to_month,fiber,electronic_check,True,1,48.55,3249.79,1,0
CUS000264,17,one_year,dsl,credit_card,False,3,46.8,810.57,0,0
CUS000265,61,one_year,dsl,credit_card,True,1,34.17,2059.61,0,0
CUS000266,36,month_to_month,dsl,bank_transfer,False,4,51.95,1776.24,1,0
CUS000267,42,month_to_month,dsl,bank_transfer,False,5,49.67,2152.32,0,0
CUS000268,34,two_year,dsl,electronic_check,True,6,66.42,2315.6,2,0
CUS000269,43,month_to_month,fiber,electronic_check,False,0,46.95,1957.99,2,1
CUS000270,63,month_to_month,fiber,electronic_check,True,5,67.76,4301.52,0,1
CUS000271,40,two_year,none,credit_card,False,4,41.81,1686.3,0,0
CUS000272,31,one_year,none,credit_card,True,4,35.35,1112.33,0,1
CUS000273,28,month_to_month,dsl,credit_card,True,4,61.28,1642.46,1,0
CUS000274,47,month_to_month,fiber,mailed_check,False,1,55.09,2689.52,1,0
CUS000275,10,one_year,dsl,mailed_check,False,2,47.25,491.89,0,0
CUS000276,54,month_to_month,dsl,electronic_check,False,2,43.68,2242.07,3,1
CUS000277,57,month_to_month,dsl,mailed_check,True,3,46.39,2756.01,1,0
CUS000278,21,month_to_month,none,credit_card,False,5,53.62,1052.99,0,0
CUS000279,46,two_year,dsl,credit_card,True,5,62.07,2901.07,0,0
CUS000280,5,one_year,fiber,credit_card,True,5,74.77,381.73,2,1
CUS000281,62,two_year,dsl,electronic_check,True,3,50.23,3174.4,0,0
CUS000282,10,month_to_month,none,electronic_check,True,4,39.41,404.11,0,1
CUS000283,35,month_to_month,dsl,credit_card,True,4,56.08,2034.55,0,0
CUS000284,61,month_to_month,dsl,electronic_check,True,5,55.33,3229.13,0,0
CUS000285,66,month_to_month,dsl,credit_card,False,1,44.25,2762.58,1,0
CUS000286,60,one_year,none,credit_card,False,6,46.82,2716.0,0,0
CUS000287,14,two_year,fiber,electronic_check,False,6,79.17,1101.12,0,1
CUS000288,6,month_to_month,none,electronic_check,True,3,37.3,231.68,1,1
CUS000289,35,month_to_month,none,electronic_check,True,0,22.18,722.12,1,0
CUS000290,30,month_to_month,dsl,bank_transfer,True,1,42.11,1283.45,1,0
CUS000291,22,two_year,none,bank_transfer,False,0,28.13,581.86,3,0
CUS000292,71,month_to_month,fiber,electronic_check,True,5,58.52,4279.31,2,1
CUS000293,50,month_to_month,fiber,bank_transfer,True,4,65.55,3223.71,0,0
CUS000294,31,month_to_month,dsl,mailed_check,False,6,67.92,2172.03,2,0
CUS000295,32,month_to_month,none,bank_transfer,True,0,23.25,703.74,1,0
CUS000296,50,two_year,fiber,mailed_check,False,6,75.24,3512.5,1,0
CUS000297,63,one_year,fiber,electronic_check,False,6,81.69,4814.91,0,0
CUS000298,28,one_year,fiber,mailed_check,True,2,51.93,1361.06,0,0
CUS000299,19,one_year,none,bank_transfer,True,5,42.79,788.28,1,0
CUS000300,60,month_to_month,fiber,electronic_check,False,2,54.74,3069.06,1,1
CUS000301,22,month_to_month,none,mailed_check,False,6,57.9,1285.65,0,0
CUS000302,49,one_year,fiber,electronic_check,True,6,75.83,3749.47,4,1
CUS000303,12,one_year,fiber,electronic_check,True,3,69.82,804.92,2,1
CUS000304,27,month_to_month,fiber,mailed_check,False,0,41.45,1164.52,0,0
CUS000305,17,two_year,fiber,mailed_check,False,0,44.74,767.86,2,0
CUS000306,51,two_year,fiber,bank_transfer,False,5,74.02,3705.69,0,0
CUS000307,13,month_to_month,fiber,electronic_check,True,3,62.2,846.2,1,1
CUS000308,23,month_to_month,fiber,credit_card,True,1,47.36,1087.26,1,0
CUS000309,22,month_to_month,dsl,credit_card,True,2,37.36,862.36,0,0
CUS000310,23,one_year,dsl,bank_transfer,True,0,36.9,798.72,0,0
CUS000311,17,one_year,dsl,electronic_check,False,4,49.65,825.72,1,0
CUS000312,69,month_to_month,none,mailed_check,True,0,13.17,898.45,0,0
CUS000313,13,one_year,dsl,credit_card,False,0,40.34,492.17,1,0
CUS000314,6,month_to_month,fiber,credit_card,True,4,69.03,412.84,1,0
CUS000315,52,month_to_month,fiber,electronic_check,False,0,46.76,2431.47,1,1
CUS000316,13,one_year,dsl,electronic_check,True,5,58.64,775.5,0,0
CUS000317,29,one_year,dsl,bank_transfer,True,4,61.36,1676.28,3,0
CUS000318,36,two_year,dsl,electronic_check,True,0,32.14,1200.68,0,0
CUS000319,2,month_to_month,fiber,credit_card,False,5,70.37,134.4,0,1
CUS000320,52,month_to_month,fiber,electronic_check,False,6,81.44,4220.85,0,0
CUS000321,65,two_year,dsl,mailed_check,True,2,45.95,2982.29,1,0
CUS000322,33,month_to_month,none,credit_card,True,4,50.43,1677.26,0,0
CUS000323,2,month_to_month,fiber,mailed_check,False,3,55.23,102.81,0,1
CUS000324,46,two_year,dsl,bank_transfer,True,5,66.51,3194.86,1,0
CUS000325,36,two_year,fiber,mailed_check,True,1,45.82,1688.62,1,0
CUS000326,7,two_year,dsl,mailed_check,False,1,37.96,276.56,0,0
CUS000327,56,month_to_month,fiber,bank_transfer,False,3,61.75,3275.5,0,1
CUS000328,33,one_year,fiber,electronic_check,True,6,83.56,2682.25,0,0
CUS000329,65,one_year,fiber,credit_card,False,6,75.8,4921.48,0,0
CUS000330,40,two_year,fiber,bank_transfer,True,6,78.19,3002.19,1,0
CUS000331,26,month_to_month,none,electronic_check,True,5,45.69,1105.46,0,0
CUS000332,34,month_to_month,fiber,electronic_check,True,1,54.76,1950.22,1,0
CUS000333,9,month_to_month,dsl,electronic_check,True,5,61.03,542.1,0,1
CUS000334,17,one_year,fiber,bank_transfer,True,5,74.58,1288.03,2,0
CUS000335,31,month_to_month,fiber,credit_card,False,4,59.9,1798.36,0,0
CUS000336,62,month_to_month,none,electronic_check,False,4,44.82,2882.05,0,0
CUS000337,27,one_year,none,mailed_check,True,0,19.76,502.95,0,0
CUS000338,34,one_year,fiber,bank_transfer,True,3,69.23,2402.06,1,0
CUS000339,7,month_to_month,dsl,bank_transfer,False,3,37.26,246.11,0,0
CUS000340,33,two_year,fiber,bank_transfer,True,6,73.38,2384.39,0,0
CUS000341,67,one_year,fiber,electronic_check,True,5,76.66,5153.21,1,0
CUS000342,29,month_to_month,fiber,mailed_check,True,4,71.96,2178.81,1,1
CUS000343,61,one_year,fiber,electronic_check,True,4,69.62,4012.89,1,0
CUS000344,10,month_to_month,dsl,electronic_check,False,5,60.54,627.09,0,1
CUS000345,8,month_to_month,fiber,electronic_check,False,1,49.38,391.61,0,1
CUS000346,57,one_year,dsl,mailed_check,False,3,48.99,2862.01,0,0
CUS000347,58,month_to_month,fiber,electronic_check,True,0,47.23,2694.36,3,1
CUS000348,57,month_to_month,fiber,electronic_check,True,0,50.4,2675.34,0,1
CUS000349,38,month_to_month,fiber,credit_card,False,1,44.25,1611.33,0,0
CUS000350,1,two_year,dsl,electronic_check,False,6,68.98,,0,0
CUS000351,10,month_to_month,dsl,mailed_check,True,0,28.06,272.74,1,0
