timestamp,card_id,amount,merchant_category,entry_mode,is_cnp,hour,day_of_week,device_age_days,country_mismatch,n_txn_1h,amount_vs_card_median,is_fraud
2025-01-01 01:48:39.926511239,8280,21.75,grocery,magstripe,0,1,2,477,1,1,4.119,0
2025-01-01 02:03:22.288722064,3004,16.43,travel,ecommerce,1,2,2,239,0,0,0.765,0
2025-01-01 02:03:35.139980978,5964,9.33,other,magstripe,0,2,2,417,0,1,0.318,0
2025-01-01 02:05:09.078354866,5534,9.75,restaurant,chip,0,2,2,94,0,0,0.244,0
2025-01-01 02:08:41.544756963,7490,14.86,other,ecommerce,1,2,2,683,0,0,0.232,0
2025-01-01 02:13:37.975538126,7230,128.2,fuel,chip,0,2,2,46,0,0,3.78,0
2025-01-01 02:15:10.109514622,2226,15.19,restaurant,chip,0,2,2,779,0,0,1.063,0
2025-01-01 02:29:51.857086758,2922,32.88,restaurant,contactless,0,2,2,568,0,2,4.011,0
2025-01-01 02:34:25.273004590,5329,33.72,grocery,chip,0,2,2,41,0,0,1.788,0
2025-01-01 02:34:32.870731456,2267,11.82,electronics,ecommerce,1,2,2,353,0,0,1.253,0
2025-01-01 02:45:49.471655388,5496,47.26,electronics,chip,0,2,2,700,0,1,3.911,0
2025-01-01 02:49:21.738367758,4153,12.45,electronics,magstripe,0,2,2,184,0,0,0.794,0
2025-01-01 02:51:51.981262503,3741,42.36,grocery,ecommerce,1,2,2,355,0,2,0.838,0
2025-01-01 02:56:30.902948828,4410,3.28,restaurant,chip,0,2,2,0,0,0,0.078,0
2025-01-01 03:14:24.842525459,7391,66.34,fuel,contactless,0,3,2,252,0,1,3.393,0
2025-01-01 03:16:18.948491307,4039,6.05,grocery,ecommerce,1,3,2,423,0,1,0.606,0
2025-01-01 03:19:17.373703017,1656,14.82,fuel,ecommerce,1,3,2,540,0,2,0.612,0
2025-01-01 03:24:31.712442646,4187,15.63,restaurant,contactless,0,3,2,389,0,0,0.491,0
2025-01-01 03:29:43.585438995,4801,9.54,fuel,ecommerce,1,3,2,473,0,0,0.535,0
2025-01-01 03:32:52.545158224,645,6.4,restaurant,ecommerce,1,3,2,93,0,1,0.126,0
2025-01-01 03:33:37.689530070,7803,12.07,other,chip,0,3,2,454,0,0,0.455,0
2025-01-01 03:34:45.218019544,1878,113.81,other,contactless,0,3,2,389,0,0,2.435,0
2025-01-01 03:39:38.770603500,984,60.54,grocery,chip,0,3,2,570,0,0,2.445,0
2025-01-01 03:39:53.478759668,2884,30.04,grocery,ecommerce,1,3,2,61,0,0,1.058,0
2025-01-01 03:42:06.527348534,8434,10.17,gaming,contactless,0,3,2,872,0,0,0.669,0
2025-01-01 03:42:40.107057894,4369,19.94,other,ecommerce,1,3,2,486,0,1,1.537,0
2025-01-01 03:42:45.554919951,1996,8.29,travel,ecommerce,1,3,2,318,0,0,0.241,0
2025-01-01 03:48:05.030855311,4747,36.59,fuel,chip,0,3,2,0,0,1,1.063,0
2025-01-01 04:01:51.428250204,4334,14.94,fuel,chip,0,4,2,1,0,1,1.628,0
2025-01-01 04:08:42.926516593,4645,36.98,grocery,contactless,0,4,2,613,0,1,1.448,0
2025-01-01 04:09:30.764895866,3412,21.87,grocery,chip,0,4,2,789,0,0,0.768,0
2025-01-01 04:10:13.930878762,6601,145.86,restaurant,chip,0,4,2,885,0,1,2.339,0
2025-01-01 04:18:54.569528082,8946,3.77,electronics,chip,0,4,2,0,0,0,0.143,0
2025-01-01 04:20:16.925029257,8800,78.5,other,chip,0,4,2,383,0,1,2.673,0
2025-01-01 04:21:27.959306236,2305,37.4,restaurant,chip,0,4,2,276,0,1,1.743,0
2025-01-01 04:26:34.135802416,3345,59.45,pharmacy,chip,0,4,2,58,0,0,4.304,0
2025-01-01 04:37:03.813500500,757,67.75,electronics,chip,0,4,2,643,0,0,2.417,0
2025-01-01 04:39:37.696449906,6100,20.89,pharmacy,contactless,0,4,2,261,0,0,1.069,0
2025-01-01 04:42:20.185176389,5592,9.61,electronics,contactless,0,4,2,622,0,2,0.442,0
2025-01-01 04:44:33.921266107,1504,8.07,other,chip,0,4,2,118,1,2,0.362,0
2025-01-01 04:49:24.909104620,7364,13.63,other,magstripe,0,4,2,57,0,1,0.866,0
2025-01-01 04:58:44.756803377,568,21.74,other,chip,0,4,2,427,0,0,1.114,0
2025-01-01 04:59:35.048188240,5468,35.19,electronics,contactless,0,4,2,277,0,0,1.28,0
2025-01-01 05:05:39.893724998,7379,2.61,pharmacy,contactless,0,5,2,864,0,0,0.11,0
2025-01-01 05:07:22.719726984,1972,10.85,pharmacy,ecommerce,1,5,2,785,0,1,1.134,0
2025-01-01 05:26:57.910111713,3044,77.82,grocery,chip,0,5,2,35,0,1,14.858,0
2025-01-01 05:44:37.415266990,2987,5.78,pharmacy,magstripe,0,5,2,626,0,0,0.328,0
2025-01-01 05:48:52.725756868,5426,23.28,grocery,contactless,0,5,2,68,0,1,1.673,0
2025-01-01 05:49:50.307420544,2473,2.25,other,chip,0,5,2,228,0,0,0.078,0
2025-01-01 05:52:54.401295983,3968,7.9,restaurant,ecommerce,1,5,2,80,0,0,0.471,0
2025-01-01 05:55:07.200079473,4585,222.18,other,magstripe,0,5,2,323,0,1,15.829,0
2025-01-01 06:03:30.860807459,7475,32.15,other,contactless,0,6,2,628,0,0,1.378,0
2025-01-01 06:12:52.867244606,8316,42.46,pharmacy,chip,0,6,2,270,0,0,8.649,0
2025-01-01 06:16:44.919898959,7059,18.97,restaurant,magstripe,0,6,2,607,0,2,0.496,0
2025-01-01 06:17:29.365276142,7067,31.07,grocery,chip,0,6,2,451,0,1,1.405,0
2025-01-01 06:20:17.149860484,7332,132.41,restaurant,ecommerce,1,6,2,810,0,1,3.231,0
2025-01-01 06:29:50.666249718,5078,43.79,restaurant,contactless,0,6,2,796,0,0,3.572,0
2025-01-01 06:37:22.262021648,5902,44.67,pharmacy,ecommerce,1,6,2,359,0,1,1.754,0
2025-01-01 06:41:46.184540226,287,3.56,grocery,contactless,0,6,2,782,0,1,0.161,0
2025-01-01 06:53:29.821213639,7060,24.65,other,contactless,0,6,2,759,0,1,0.602,0
2025-01-01 06:54:02.559855714,1402,69.03,pharmacy,chip,0,6,2,38,0,0,2.311,0
2025-01-01 07:03:44.492526593,1143,23.11,grocery,contactless,0,7,2,108,0,0,1.782,0
2025-01-01 07:09:30.615602747,8418,1.82,other,contactless,0,7,2,515,0,1,0.075,0
2025-01-01 07:10:22.981779643,8582,10.45,gaming,chip,0,7,2,473,0,0,1.252,0
2025-01-01 07:11:58.925661683,2709,95.75,fuel,contactless,0,7,2,26,0,0,5.971,0
2025-01-01 07:14:04.791431448,8741,45.14,travel,ecommerce,1,7,2,217,0,0,1.934,0
2025-01-01 07:19:32.530122102,1593,6.64,electronics,chip,0,7,2,416,0,1,0.447,0
2025-01-01 07:21:15.003548054,7803,11.16,restaurant,contactless,0,7,2,173,0,0,0.421,0
2025-01-01 07:21:41.382306937,1280,5.39,restaurant,chip,0,7,2,812,0,0,1.046,0
2025-01-01 07:30:43.291994424,5667,16.49,restaurant,ecommerce,1,7,2,794,0,2,0.511,0
2025-01-01 07:34:14.157292444,8875,4.95,grocery,contactless,0,7,2,2,0,1,0.405,0
2025-01-01 07:38:05.391515321,2925,13.31,restaurant,contactless,0,7,2,893,0,0,0.571,0
2025-01-01 07:43:00.178848466,7459,259.46,fuel,ecommerce,1,7,2,595,0,1,13.301,0
2025-01-01 07:47:15.440824531,5034,215.25,electronics,chip,0,7,2,195,0,0,9.864,0
2025-01-01 07:47:17.746135179,5148,122.67,fuel,ecommerce,1,7,2,515,0,0,4.029,0
2025-01-01 07:48:45.673265324,594,2.53,fuel,magstripe,0,7,2,421,0,0,0.07,0
2025-01-01 07:53:32.849818876,3607,52.62,fuel,ecommerce,1,7,2,841,0,0,5.124,0
2025-01-01 07:54:35.961781114,2249,30.92,travel,ecommerce,1,7,2,802,0,0,4.535,0
2025-01-01 07:55:30.171999638,1373,14.44,restaurant,contactless,0,7,2,194,0,0,1.345,0
2025-01-01 08:02:28.069066864,1276,4.56,other,contactless,0,8,2,213,0,0,0.117,0
2025-01-01 08:08:30.618872896,376,37.68,grocery,chip,0,8,2,816,0,0,0.834,0
2025-01-01 08:11:04.453329676,1672,5.01,grocery,ecommerce,1,8,2,756,0,2,0.137,0
2025-01-01 08:14:00.167629696,7208,24.43,electronics,chip,0,8,2,307,0,0,2.287,0
2025-01-01 08:35:24.365582265,1428,7.93,electronics,chip,0,8,2,579,0,0,0.34,0
2025-01-01 08:38:18.864518433,4833,3.63,fuel,chip,0,8,2,676,0,0,0.398,0
2025-01-01 08:45:23.886249626,7302,27.4,other,ecommerce,1,8,2,730,0,0,0.402,0
2025-01-01 08:45:35.312918862,5651,1.26,grocery,manual,1,8,2,835,0,0,0.035,0
2025-01-01 08:46:45.329193783,768,7.94,other,chip,0,8,2,135,0,0,0.333,0
2025-01-01 08:47:50.172740796,6598,2.34,restaurant,contactless,0,8,2,324,0,2,0.066,0
2025-01-01 08:53:38.176919886,8071,50.76,fuel,contactless,0,8,2,237,0,2,2.698,0
2025-01-01 09:00:43.059450020,3936,8.43,restaurant,chip,0,9,2,722,0,2,0.47,0
2025-01-01 09:03:33.103792636,618,64.9,gaming,chip,0,9,2,208,0,2,2.107,0
2025-01-01 09:03:36.895929156,3876,14.53,other,chip,0,9,2,755,0,1,1.452,0
2025-01-01 09:04:08.204035547,5998,7.54,fuel,contactless,0,9,2,653,0,0,0.859,0
2025-01-01 09:04:41.719939597,342,48.51,electronics,contactless,0,9,2,585,0,1,3.642,0
2025-01-01 09:06:33.799322060,3522,141.47,grocery,chip,0,9,2,335,0,1,2.247,0
2025-01-01 09:06:47.752800526,4830,36.59,restaurant,ecommerce,1,9,2,763,0,0,1.609,0
2025-01-01 09:07:40.286715462,4097,14.44,restaurant,ecommerce,1,9,2,637,0,1,0.423,0
2025-01-01 09:16:06.933756010,5808,13.35,fuel,contactless,0,9,2,2,0,5,0.556,0
2025-01-01 09:22:17.358154007,3336,60.55,gaming,chip,0,9,2,642,0,0,2.395,0
2025-01-01 09:23:32.488040873,3676,52.65,other,ecommerce,1,9,2,554,0,0,3.123,0
2025-01-01 09:24:00.738227302,7951,7.62,other,magstripe,0,9,2,538,0,0,0.209,0
2025-01-01 09:25:49.209733239,5182,2.1,electronics,chip,0,9,2,527,0,0,0.081,0
2025-01-01 09:30:16.413690113,2070,57.93,gaming,magstripe,0,9,2,388,0,0,3.175,0
2025-01-01 09:35:44.747910475,6435,7.49,gaming,ecommerce,1,9,2,220,0,0,0.963,0
2025-01-01 09:37:31.415574001,8054,72.86,gaming,ecommerce,1,9,2,456,0,0,3.333,0
2025-01-01 09:38:56.591384705,4340,87.57,travel,chip,0,9,2,494,0,0,3.214,0
2025-01-01 09:47:58.907064491,2742,1.53,other,ecommerce,1,9,2,168,0,1,0.121,0
2025-01-01 09:51:02.031921495,1271,97.43,gaming,chip,0,9,2,804,0,0,1.363,0
2025-01-01 09:58:58.490513237,3514,29.36,other,chip,0,9,2,827,0,0,1.828,0
2025-01-01 10:02:52.332404042,6525,5.06,electronics,chip,0,10,2,113,0,1,0.228,0
2025-01-01 10:06:27.136233283,4686,13.37,gaming,magstripe,0,10,2,363,0,2,0.729,0
2025-01-01 10:13:03.671866530,4398,30.16,gaming,chip,0,10,2,20,0,1,1.346,0
2025-01-01 10:14:57.923389759,5555,26.85,fuel,contactless,0,10,2,613,0,1,0.902,0
2025-01-01 10:16:49.121650503,1131,27.97,grocery,magstripe,0,10,2,660,0,0,1.033,0
2025-01-01 10:19:31.739139577,7380,32.66,travel,chip,0,10,2,868,0,0,2.864,0
2025-01-01 10:22:42.399882103,5645,28.35,restaurant,ecommerce,1,10,2,777,0,0,1.204,0
2025-01-01 10:32:05.632288948,3126,10.54,grocery,chip,0,10,2,216,0,0,0.12,0
2025-01-01 10:32:44.346326851,1377,18.25,restaurant,ecommerce,1,10,2,340,0,2,0.675,0
2025-01-01 10:48:19.906480019,946,19.19,travel,contactless,0,10,2,522,0,1,0.581,0
2025-01-01 10:51:59.518494009,7431,121.3,other,ecommerce,1,10,2,535,0,0,3.605,0
2025-01-01 10:52:02.720528988,477,49.01,fuel,chip,0,10,2,37,0,0,0.9,0
2025-01-01 10:58:49.994517047,8246,13.3,gaming,ecommerce,1,10,2,682,0,2,1.236,0
2025-01-01 11:02:03.490563892,380,4.57,other,magstripe,0,11,2,312,0,1,0.139,0
2025-01-01 11:07:24.296086512,5825,8.29,other,ecommerce,1,11,2,824,0,1,0.276,0
2025-01-01 11:11:47.249096628,6497,97.98,grocery,chip,0,11,2,353,0,0,5.375,0
2025-01-01 11:15:05.516953483,8859,28.86,restaurant,ecommerce,1,11,2,464,0,1,1.56,0
2025-01-01 11:22:25.586094064,1495,8.83,restaurant,ecommerce,1,11,2,792,0,0,0.127,0
2025-01-01 11:23:12.756343813,7444,9.78,grocery,chip,0,11,2,830,0,0,0.183,0
2025-01-01 11:24:36.918943075,7844,6.04,fuel,contactless,0,11,2,226,0,1,0.296,0
2025-01-01 11:25:15.842481172,3344,23.81,other,contactless,0,11,2,49,0,1,2.28,0
2025-01-01 11:26:16.091307266,4770,11.57,grocery,contactless,0,11,2,45,0,1,0.523,0
2025-01-01 11:29:12.710081950,2809,14.42,electronics,chip,0,11,2,2,0,0,0.324,0
2025-01-01 11:30:43.081608051,7802,28.48,travel,chip,0,11,2,2,0,1,0.911,0
2025-01-01 11:44:12.588754088,6363,81.48,grocery,chip,0,11,2,882,0,1,10.755,0
2025-01-01 11:50:30.490137529,3246,117.13,pharmacy,contactless,0,11,2,772,0,0,5.622,0
2025-01-01 11:52:25.631576074,5902,8.32,electronics,chip,0,11,2,735,0,1,0.327,0
2025-01-01 11:53:09.023341086,7658,1.35,grocery,chip,0,11,2,2,0,1,0.083,0
2025-01-01 11:55:50.412214238,4629,7.17,electronics,chip,0,11,2,279,0,0,0.169,0
2025-01-01 12:15:50.497467455,8299,47.32,restaurant,chip,0,12,2,0,0,0,2.555,0
2025-01-01 12:19:38.646867455,2832,50.82,grocery,ecommerce,1,12,2,132,0,1,2.063,0
2025-01-01 12:23:36.739562734,8651,6.92,grocery,ecommerce,1,12,2,0,0,0,0.399,0
2025-01-01 12:25:51.691138482,263,16.48,fuel,ecommerce,1,12,2,297,1,1,1.46,0
2025-01-01 12:26:21.497682300,6341,33.64,grocery,ecommerce,1,12,2,210,0,1,1.613,0
2025-01-01 12:28:31.662061463,4532,3.53,electronics,chip,0,12,2,27,0,1,0.199,0
2025-01-01 12:30:19.766736609,4571,5.64,other,contactless,0,12,2,249,0,0,0.221,0
2025-01-01 12:34:31.205517113,6507,3.62,grocery,ecommerce,1,12,2,859,0,2,0.09,0
2025-01-01 12:36:20.962733547,3034,4.36,restaurant,ecommerce,1,12,2,148,0,0,0.306,0
2025-01-01 12:42:42.201732568,2473,34.05,gaming,contactless,0,12,2,0,0,2,1.175,0
2025-01-01 12:50:33.651013020,2829,26.0,grocery,ecommerce,1,12,2,544,0,1,1.851,0
2025-01-01 12:51:01.521174488,385,7.46,grocery,chip,0,12,2,489,0,1,0.165,0
2025-01-01 12:55:29.449613728,4292,40.3,fuel,contactless,0,12,2,422,0,1,8.004,0
2025-01-01 13:05:15.284329513,5550,20.71,grocery,ecommerce,1,13,2,377,0,0,0.806,0
2025-01-01 13:10:15.408687153,7193,161.61,restaurant,contactless,0,13,2,1,0,0,17.221,1
2025-01-01 13:17:13.642781864,7133,0.62,gaming,chip,0,13,2,596,0,0,0.041,0
2025-01-01 13:20:31.267554852,7688,83.0,pharmacy,chip,0,13,2,648,0,0,3.156,0
2025-01-01 13:22:27.415515376,2976,17.35,travel,contactless,0,13,2,773,0,1,0.882,0
2025-01-01 13:23:10.920959929,300,25.43,grocery,contactless,0,13,2,369,0,1,0.895,0
2025-01-01 13:27:56.198625044,6483,18.46,grocery,contactless,0,13,2,77,0,0,0.328,0
2025-01-01 13:29:17.426691630,5554,29.72,other,chip,0,13,2,443,0,1,1.279,0
2025-01-01 13:33:47.387286463,4150,18.38,grocery,contactless,0,13,2,342,0,2,0.746,0
2025-01-01 13:37:44.083095549,7877,26.33,grocery,ecommerce,1,13,2,842,0,0,1.66,0
2025-01-01 13:43:36.417459100,7567,3.32,fuel,chip,0,13,2,805,0,1,0.192,0
2025-01-01 13:44:40.233388197,3293,62.67,pharmacy,contactless,0,13,2,685,0,0,6.476,0
2025-01-01 13:50:04.407137959,461,7.8,fuel,magstripe,0,13,2,2,0,1,0.305,0
2025-01-01 13:52:39.956315850,2401,24.64,electronics,chip,0,13,2,271,0,0,0.999,0
2025-01-01 13:58:24.314775096,6846,8.12,grocery,ecommerce,1,13,2,597,0,0,0.439,0
2025-01-01 14:00:44.862295457,7321,2.52,restaurant,ecommerce,1,14,2,604,0,0,0.046,0
2025-01-01 14:04:55.139738055,3037,8.29,restaurant,contactless,0,14,2,398,0,0,0.199,0
2025-01-01 14:13:10.537625475,1971,37.32,travel,ecommerce,1,14,2,16,0,0,1.295,0
2025-01-01 14:15:49.170553152,3575,139.59,travel,ecommerce,1,14,2,101,0,4,2.39,0
2025-01-01 14:16:22.669844114,6884,1.81,grocery,ecommerce,1,14,2,0,0,1,0.257,0
2025-01-01 14:17:44.231336814,7003,4.26,gaming,magstripe,0,14,2,259,0,0,0.211,0
2025-01-01 14:17:44.684246499,3848,32.52,grocery,chip,0,14,2,1,0,3,2.802,0
2025-01-01 14:24:45.199117964,6770,1.99,restaurant,chip,0,14,2,731,0,2,0.098,0
2025-01-01 14:25:18.202890934,2001,62.82,other,ecommerce,1,14,2,202,0,0,9.675,0
2025-01-01 14:25:45.936938727,141,99.41,grocery,ecommerce,1,14,2,256,0,0,3.623,0
2025-01-01 14:31:33.903293813,7410,4.61,pharmacy,ecommerce,1,14,2,2,0,0,0.126,0
2025-01-01 14:34:49.889012916,7595,33.79,restaurant,ecommerce,1,14,2,522,0,1,0.859,0
2025-01-01 14:36:04.034649954,1608,75.53,other,ecommerce,1,14,2,793,0,0,1.97,0
2025-01-01 14:36:52.301236791,7984,6.73,pharmacy,ecommerce,1,14,2,136,0,0,0.305,0
2025-01-01 14:37:54.449240752,8942,138.77,restaurant,ecommerce,1,14,2,240,0,1,3.198,0
2025-01-01 14:38:28.846676925,2119,19.3,grocery,contactless,0,14,2,701,0,0,1.014,0
2025-01-01 14:42:39.006450456,7530,10.65,travel,chip,0,14,2,743,0,0,0.162,0
2025-01-01 14:42:53.708108530,6839,13.98,other,chip,0,14,2,343,0,0,0.74,0
2025-01-01 14:43:28.472326012,1609,19.15,other,ecommerce,1,14,2,129,0,0,1.327,0
2025-01-01 14:46:56.176403604,292,49.47,restaurant,chip,0,14,2,656,0,1,2.365,0
2025-01-01 14:56:01.391555519,7704,1.41,other,manual,1,14,2,406,0,1,0.061,0
2025-01-01 15:02:57.398056339,5746,24.55,grocery,chip,0,15,2,557,0,1,0.638,0
2025-01-01 15:11:47.032120244,593,5.03,fuel,manual,1,15,2,1,0,0,0.128,0
2025-01-01 15:20:20.607943761,1363,139.01,other,ecommerce,1,15,2,735,0,0,13.28,0
2025-01-01 15:21:09.304618608,3772,66.33,gaming,contactless,0,15,2,829,0,0,1.561,0
2025-01-01 15:22:01.982506073,6346,19.11,gaming,ecommerce,1,15,2,857,1,0,0.445,0
2025-01-01 15:35:09.934624715,5319,18.81,grocery,ecommerce,1,15,2,211,0,1,0.641,0
2025-01-01 15:35:28.951708562,7846,29.98,other,chip,0,15,2,2,0,1,1.391,0
2025-01-01 15:35:32.254494793,1979,32.59,pharmacy,ecommerce,1,15,2,2,0,1,1.965,0
2025-01-01 15:38:53.094668797,3481,4.3,other,ecommerce,1,15,2,592,0,0,0.257,0
2025-01-01 15:44:41.177174240,2173,11.24,grocery,chip,0,15,2,23,0,0,1.057,0
2025-01-01 15:47:19.712102174,1591,14.04,other,chip,0,15,2,809,0,0,2.221,0
2025-01-01 15:47:37.382299587,2964,213.65,grocery,chip,0,15,2,898,0,0,15.279,0
2025-01-01 15:48:31.346292751,3036,64.78,pharmacy,ecommerce,1,15,2,2,0,0,4.084,0
2025-01-01 15:51:01.380812517,4649,35.12,grocery,contactless,0,15,2,159,0,0,0.861,0
2025-01-01 15:51:45.986261320,2032,46.7,electronics,chip,0,15,2,200,0,1,1.179,0
2025-01-01 16:00:05.778916288,4360,13.56,gaming,contactless,0,16,2,2,0,0,0.558,0
2025-01-01 16:00:13.737397980,1929,31.07,restaurant,chip,0,16,2,683,0,0,1.116,0
2025-01-01 16:06:18.296669837,4550,327.96,other,contactless,0,16,2,713,0,0,58.053,0
2025-01-01 16:17:19.006335935,4747,20.53,electronics,chip,0,16,2,681,0,0,0.596,0
2025-01-01 16:24:19.753275159,1493,120.75,other,ecommerce,1,16,2,2,0,0,5.602,0
2025-01-01 16:37:57.059826748,5508,13.18,restaurant,contactless,0,16,2,567,0,1,0.808,0
2025-01-01 16:38:30.707037719,1473,336.24,restaurant,ecommerce,1,16,2,612,0,1,5.116,0
2025-01-01 16:39:27.669608558,6348,6.47,electronics,contactless,0,16,2,33,0,1,0.154,0
2025-01-01 16:42:42.237511223,4736,2.7,restaurant,contactless,0,16,2,616,0,1,0.1,0
2025-01-01 16:50:24.427814919,8687,13.64,other,magstripe,0,16,2,170,0,2,0.673,0
2025-01-01 16:52:30.373352275,1156,53.42,fuel,ecommerce,1,16,2,656,0,0,1.226,0
2025-01-01 17:00:35.873528884,7147,16.75,travel,contactless,0,17,2,378,0,0,0.774,0
2025-01-01 17:02:02.493546679,3694,85.13,grocery,ecommerce,1,17,2,730,0,1,1.742,0
2025-01-01 17:04:42.588339557,5387,4.55,fuel,contactless,0,17,2,730,0,0,0.125,0
2025-01-01 17:08:51.529783860,7783,52.58,restaurant,ecommerce,1,17,2,338,0,1,3.003,0
2025-01-01 17:20:12.443443649,2612,5.19,fuel,contactless,0,17,2,838,0,1,0.171,0
2025-01-01 17:23:51.233733271,5243,3.12,travel,chip,0,17,2,258,0,0,0.069,0
2025-01-01 17:25:28.577426057,4665,52.92,gaming,chip,0,17,2,117,0,0,3.06,0
2025-01-01 17:27:05.410031816,8956,38.5,fuel,ecommerce,1,17,2,674,0,0,1.029,0
2025-01-01 17:28:37.679939103,7961,31.39,fuel,contactless,0,17,2,182,0,0,1.127,0
2025-01-01 17:35:33.788040056,3961,21.09,fuel,chip,0,17,2,1,0,1,1.115,0
2025-01-01 17:59:18.546824563,3273,6.52,other,magstripe,0,17,2,164,0,1,0.237,0
2025-01-01 17:59:45.374021425,7745,6.41,grocery,magstripe,0,17,2,455,1,1,0.245,0
2025-01-01 18:02:12.996160745,5900,2.26,travel,chip,0,18,2,2,0,0,0.121,0
2025-01-01 18:04:34.074941575,1301,11.53,grocery,ecommerce,1,18,2,509,0,1,0.416,0
2025-01-01 18:10:06.766746020,1675,9.43,grocery,contactless,0,18,2,458,0,1,0.468,0
2025-01-01 18:18:08.809712721,4514,49.82,fuel,contactless,0,18,2,2,0,0,1.078,0
2025-01-01 18:21:02.912916831,468,23.19,grocery,chip,0,18,2,46,0,1,1.836,0
2025-01-01 18:34:18.591264743,1073,22.1,grocery,contactless,0,18,2,0,0,1,1.506,0
2025-01-01 18:35:22.918608080,3528,18.54,fuel,contactless,0,18,2,82,0,1,0.944,0
2025-01-01 18:40:24.912323247,6697,7.3,fuel,magstripe,0,18,2,593,0,0,0.225,0
2025-01-01 18:43:35.789638988,1864,16.02,fuel,contactless,0,18,2,499,0,1,0.576,0
2025-01-01 18:50:00.503265551,2025,18.68,fuel,contactless,0,18,2,533,0,0,0.95,0
2025-01-01 18:53:02.993665605,528,5.05,grocery,contactless,0,18,2,434,0,2,0.3,0
2025-01-01 19:03:27.138505141,7376,197.18,grocery,contactless,0,19,2,449,0,1,15.864,0
2025-01-01 19:05:43.543319921,5596,19.38,fuel,chip,0,19,2,705,0,1,0.398,0
2025-01-01 19:08:12.088504022,689,13.19,restaurant,ecommerce,1,19,2,281,0,0,0.469,0
2025-01-01 19:16:10.140695320,2362,7.62,restaurant,ecommerce,1,19,2,1,0,0,0.298,0
2025-01-01 19:28:16.612576936,7404,17.03,grocery,chip,0,19,2,163,0,1,0.736,0
2025-01-01 19:32:58.504145053,5642,10.09,pharmacy,chip,0,19,2,74,0,0,0.55,0
2025-01-01 19:33:20.989459764,8890,52.07,fuel,contactless,0,19,2,79,0,1,2.265,0
