policy_id,exposure,driver_age,vehicle_age,vehicle_power,bonus_malus,annual_mileage,area,fuel,coverage,claim_count,claim_cost
POL000216,0.777,57,10.0,143.0,89,4600.0,urban,petrol,comprehensive,0,0.0
POL000217,0.822,64,5.7,70.0,63,15600.0,rural,hybrid,third_party,0,0.0
POL000218,0.668,45,17.4,93.0,72,10400.0,urban,hybrid,comprehensive,0,0.0
POL000219,0.666,92,11.2,110.0,72,10700.0,suburban,electric,comprehensive,0,0.0
POL000220,0.895,61,23.3,93.0,104,16000.0,rural,petrol,comprehensive,0,0.0
POL000221,0.673,61,8.0,108.0,105,14300.0,suburban,petrol,comprehensive,0,0.0
POL000222,0.454,34,13.4,102.0,65,4700.0,urban,hybrid,comprehensive,0,0.0
POL000223,0.885,68,5.4,76.0,131,10500.0,rural,diesel,comprehensive,0,0.0
POL000224,0.597,46,4.5,127.0,115,4600.0,suburban,diesel,comprehensive,0,0.0
POL000225,0.732,55,9.6,159.0,76,12100.0,urban,diesel,comprehensive,0,0.0
POL000226,0.772,57,4.2,134.0,62,23700.0,urban,diesel,third_party,0,0.0
POL000227,0.646,48,7.7,110.0,64,13900.0,suburban,petrol,comprehensive,0,0.0
POL000228,0.715,43,6.1,130.0,91,8700.0,suburban,petrol,comprehensive,0,0.0
POL000229,0.768,70,1.0,144.0,72,14300.0,urban,hybrid,comprehensive,0,0.0
POL000230,0.757,58,8.7,45.0,171,26500.0,urban,petrol,comprehensive,0,0.0
POL000231,0.605,47,7.0,93.0,99,8700.0,rural,diesel,comprehensive,0,0.0
POL000232,0.443,67,6.6,135.0,96,4300.0,rural,petrol,comprehensive,0,0.0
POL000233,0.846,53,8.5,57.0,121,15400.0,urban,petrol,comprehensive,0,0.0
POL000234,0.574,79,6.4,118.0,100,9800.0,urban,petrol,comprehensive,0,0.0
POL000235,0.491,42,11.3,72.0,94,16100.0,rural,petrol,comprehensive,0,0.0
POL000236,0.791,68,2.4,141.0,71,11400.0,urban,petrol,third_party,0,0.0
POL000237,0.958,56,1.7,97.0,88,8500.0,rural,petrol,comprehensive,0,0.0
POL000238,0.83,68,8.6,172.0,56,6100.0,rural,petrol,third_party,0,0.0
POL000239,0.871,66,4.0,127.0,77,14800.0,suburban,hybrid,comprehensive,0,0.0
POL000240,0.752,50,3.5,124.0,84,14300.0,urban,petrol,comprehensive,0,0.0
POL000241,0.668,36,3.7,79.0,72,5300.0,suburban,petrol,third_party,0,0.0
POL000242,0.623,46,14.9,126.0,112,9600.0,urban,petrol,comprehensive,0,0.0
POL000243,0.952,90,14.2,97.0,89,14400.0,suburban,diesel,comprehensive,0,0.0
POL000244,0.542,54,7.3,122.0,149,5100.0,rural,petrol,comprehensive,0,0.0
POL000245,0.846,55,11.2,104.0,81,4400.0,urban,petrol,comprehensive,0,0.0
POL000246,0.753,63,3.6,113.0,98,17100.0,urban,petrol,third_party,0,0.0
POL000247,0.595,79,9.2,62.0,97,5200.0,urban,hybrid,comprehensive,0,0.0
POL000248,0.77,40,8.9,148.0,110,13500.0,rural,petrol,third_party,0,0.0
POL000249,0.749,42,2.9,78.0,102,3900.0,urban,petrol,comprehensive,0,0.0
POL000250,0.826,39,10.7,106.0,74,14100.0,urban,hybrid,comprehensive,0,0.0
POL000251,0.868,38,9.5,127.0,103,14000.0,urban,hybrid,comprehensive,0,0.0
POL000252,0.81,72,7.6,179.0,126,12600.0,urban,petrol,comprehensive,0,0.0
POL000253,0.607,87,11.6,104.0,88,5200.0,urban,petrol,comprehensive,0,0.0
POL000254,0.808,61,5.5,161.0,85,7700.0,urban,petrol,comprehensive,0,0.0
POL000255,0.804,64,11.5,131.0,143,15900.0,rural,hybrid,third_party,0,0.0
POL000256,0.777,69,5.9,136.0,153,9300.0,rural,hybrid,comprehensive,1,745.84
POL000257,0.972,62,4.7,113.0,75,18700.0,suburban,diesel,comprehensive,0,0.0
POL000258,0.582,60,5.8,105.0,156,16700.0,suburban,petrol,comprehensive,0,0.0
POL000259,0.839,33,6.8,70.0,139,9600.0,suburban,electric,comprehensive,0,0.0
POL000260,0.61,67,3.3,130.0,100,12400.0,urban,hybrid,comprehensive,0,0.0
POL000261,0.781,39,14.5,114.0,139,8900.0,suburban,petrol,comprehensive,0,0.0
POL000262,0.949,40,11.3,72.0,120,18100.0,rural,diesel,comprehensive,0,0.0
POL000263,0.851,34,11.6,107.0,87,16500.0,urban,petrol,comprehensive,0,0.0
POL000264,0.577,52,1.6,163.0,95,17000.0,urban,petrol,comprehensive,0,0.0
POL000265,0.784,44,3.4,126.0,100,8300.0,urban,petrol,third_party,1,1930.14
POL000266,0.85,38,3.0,119.0,58,18400.0,suburban,diesel,comprehensive,0,0.0
POL000267,0.886,55,4.0,76.0,113,8700.0,suburban,petrol,comprehensive,0,0.0
POL000268,0.758,38,3.1,91.0,109,14100.0,urban,petrol,comprehensive,0,0.0
POL000269,0.639,60,7.4,124.0,86,5600.0,suburban,hybrid,third_party,0,0.0
POL000270,0.86,57,9.3,149.0,94,4600.0,urban,petrol,comprehensive,0,0.0
POL000271,0.799,47,3.5,110.0,134,3700.0,rural,petrol,third_party,0,0.0
POL000272,0.737,52,11.9,122.0,124,8400.0,suburban,petrol,third_party,0,0.0
POL000273,0.865,66,9.8,138.0,91,17800.0,suburban,petrol,comprehensive,0,0.0
POL000274,0.715,58,8.7,103.0,147,6600.0,suburban,petrol,comprehensive,0,0.0
POL000275,0.586,53,4.0,149.0,120,13300.0,rural,diesel,comprehensive,0,0.0
POL000276,0.54,62,5.9,67.0,88,10800.0,rural,hybrid,third_party,0,0.0
POL000277,0.927,47,2.9,139.0,119,6700.0,urban,diesel,third_party,0,0.0
POL000278,0.612,49,4.6,135.0,115,22000.0,urban,hybrid,comprehensive,0,0.0
POL000279,0.526,41,1.1,58.0,92,10800.0,suburban,diesel,comprehensive,0,0.0
POL000280,0.688,63,8.0,147.0,118,8600.0,suburban,petrol,third_party,0,0.0
POL000281,0.88,83,7.3,160.0,116,11600.0,suburban,petrol,third_party,0,0.0
POL000282,0.913,43,7.4,163.0,112,10000.0,urban,petrol,comprehensive,1,312.35
POL000283,0.794,42,8.0,160.0,100,18000.0,suburban,diesel,comprehensive,0,0.0
POL000284,0.867,67,4.0,94.0,100,10000.0,urban,hybrid,third_party,0,0.0
POL000285,0.279,72,15.8,107.0,67,12700.0,urban,petrol,comprehensive,0,0.0
POL000286,0.459,42,8.4,79.0,91,6100.0,urban,petrol,third_party,0,0.0
POL000287,0.821,45,6.4,136.0,80,19100.0,urban,petrol,third_party,0,0.0
POL000288,0.688,90,0.4,108.0,111,21000.0,urban,diesel,comprehensive,1,1058.82
POL000289,0.348,71,3.9,88.0,121,18700.0,urban,petrol,comprehensive,0,0.0
POL000290,0.91,59,6.1,181.0,92,18400.0,rural,petrol,comprehensive,0,0.0
POL000291,0.44,40,1.9,141.0,64,5200.0,urban,petrol,comprehensive,0,0.0
POL000292,0.867,65,17.3,129.0,115,16200.0,suburban,petrol,comprehensive,0,0.0
POL000293,0.819,58,4.9,126.0,89,15700.0,rural,diesel,comprehensive,0,0.0
POL000294,0.629,57,2.8,110.0,97,3900.0,rural,petrol,comprehensive,0,0.0
POL000295,0.763,57,8.4,78.0,123,7000.0,rural,petrol,comprehensive,0,0.0
POL000296,0.462,77,7.2,124.0,110,13800.0,urban,hybrid,third_party,1,307.09
POL000297,0.918,62,8.0,123.0,92,10800.0,suburban,hybrid,comprehensive,0,0.0
POL000298,0.848,66,2.1,100.0,84,13900.0,urban,petrol,third_party,0,0.0
POL000299,0.719,42,7.1,175.0,118,15500.0,suburban,petrol,comprehensive,0,0.0
POL000300,0.784,47,7.1,141.0,82,10800.0,urban,hybrid,third_party,0,0.0
POL000301,0.719,82,8.1,111.0,129,10100.0,suburban,petrol,comprehensive,0,0.0
POL000302,0.578,73,0.7,107.0,191,8600.0,urban,petrol,comprehensive,1,2574.28
POL000303,0.843,92,9.8,137.0,92,9500.0,suburban,diesel,comprehensive,0,0.0
POL000304,0.321,63,5.7,107.0,129,11600.0,suburban,diesel,comprehensive,0,0.0
POL000305,0.702,62,2.7,142.0,102,18000.0,urban,petrol,comprehensive,0,0.0
POL000306,0.987,38,11.0,110.0,148,7500.0,urban,diesel,comprehensive,0,0.0
POL000307,0.818,82,5.9,96.0,78,4400.0,suburban,petrol,third_party,0,0.0
POL000308,0.684,45,6.4,113.0,75,11200.0,suburban,petrol,comprehensive,0,0.0
